k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
1	1	2	0.18046829	0.19012852	AA	0.0343121688846308	0	0.16796124	0.19104093	AA	0.0320874714935532	0	ct2VSct3	0.0022246973910776	0.00222469739107761	0
2	1	3	0.18046829	0.14061381	AA	0.0253763338410849	0	0.16796124	0.1009407	AA	0.016954125138468	0	ct2VSct3	0.0084222087026169	0.0084222087026169	0
3	1	4	0.18046829	-0.18161297	AB	0	0	0.16796124	-0.16271872	AB	0	0	ct2VSct3	-0.0054449441553085	0	0
4	1	5	0.18046829	-0.18328273	AB	0	0	0.16796124	-0.15626544	AB	0	0	ct2VSct3	-0.0068301837980861	0	0
5	1	6	0.18046829	0.042068575	AA	0.00759204379298675	0	0.16796124	0.077304897	AA	0.0129842263581923	0	ct2VSct3	-0.00539218256520553	-0.00539218256520555	0
6	1	7	0.18046829	-0.00098194839	AB	0	0	0.16796124	0.051912599	AA	0.00871930449966276	0	ct2VSct3	-0.00889651504647431	-0.00871930449966276	0
7	1	8	0.18046829	-0.044405686	AB	0	0	0.16796124	0.009518961	AA	0.00159881649307164	0	ct2VSct3	-0.00961263471176858	-0.00159881649307164	0
8	1	9	0.18046829	-0.17344142	AB	0	0	0.16796124	-0.15743553	AB	0	0	ct2VSct3	-0.0048576096437146	0	0
9	1	10	0.18046829	-0.19903151	AB	0	0	0.16796124	-0.19242186	AB	0	0	ct2VSct3	-0.00359946205711149	0	0
10	1	11	0.18046829	-0.1973125	AB	0	0	0.16796124	-0.19638166	AB	0	0	ct2VSct3	-0.0026241423437666	0	0
11	1	12	0.18046829	-0.15190249	AB	0	0	0.16796124	-0.16028141	AB	0	0	ct2VSct3	-0.000492518244493697	0	0
12	1	13	0.18046829	-0.087703852	AB	0	0	0.16796124	-0.11455982	AB	0	0	ct2VSct3	0.00341384522452372	0	0
13	1	14	0.18046829	-0.1880073	AB	0	0	0.16796124	-0.19694965	AB	0	0	ct2VSct3	-0.000849448506950998	0	0
14	1	15	0.18046829	-0.20745743	AB	0	0	0.16796124	-0.20676996	AB	0	0	ct2VSct3	-0.0027101487635443	0	0
15	1	16	0.18046829	-0.17437581	AB	0	0	0.16796124	-0.19555677	AB	0	0	ct2VSct3	0.0013766533315299	0	0
16	1	17	0.18046829	-0.14796277	AB	0	0	0.16796124	-0.19100095	AB	0	0	ct2VSct3	0.0053781683176147	0	0
17	1	18	0.18046829	-0.16760507	AB	0	0	0.16796124	-0.18987862	AB	0	0	ct2VSct3	0.0016448480864585	0	0
