Gene,SA3170,SA3173,SA3309,SA3326,SA3331,SA3336,SA3174,SA3195,SA3198,SA3318,SA3337,SA3338,,baseMean,log2FoldChange (LUAD/AdenomaG),lfcSE,pvalue,padj,ENTREZ_ID,Gene_name
0610007P14Rik,9.834067644,9.417167288,9.221862717,9.032391536,9.237921173,9.528297826,9.336023332,9.842045306,9.601909402,8.852711116,9.93549324,9.682897137,,722.00138,0.143734992,0.186085691,0.377626892,0.609876469,NA,NA
0610009B22Rik,8.366518308,8.148257576,8.128907192,8.099701471,7.639283735,8.589879148,8.134141563,8.675214795,8.115631176,7.787357378,8.286475345,8.298556435,,297.3148035,0.041737545,0.174692489,0.789033592,0.901699856,66050,RIKEN cDNA 0610009B22 gene
0610009L18Rik,6.356534219,5.525624657,5.32646776,4.551264846,5.257234648,6.57735205,4.32107299,4.926276559,5.688621035,4.195340119,5.020335028,4.313663327,,41.49587206,-0.586422199,0.427016487,0.028971138,0.113234,66838,RIKEN cDNA 0610009L18 gene
0610009O20Rik,10.10845015,9.819807761,9.815264298,9.680547863,9.856197828,10.13408087,9.305966098,9.877021444,9.57831089,9.297701837,9.898755965,10.04460513,,896.4734516,-0.18335673,0.157122644,0.199209104,0.416269479,NA,NA
0610010F05Rik,7.779066255,8.606336456,8.718785183,8.742406333,8.360857279,8.340911855,8.650993876,8.687088895,8.532158294,9.234581751,7.546058326,8.456621281,,369.7445616,0.095345619,0.219507872,0.598893846,0.784720076,71675,RIKEN cDNA 0610010F05 gene
0610010K14Rik,9.315892235,9.177701354,8.813733587,8.477264265,8.867552723,9.108189337,8.606475209,8.793440876,8.75135679,8.673931317,8.917241535,9.05363141,,477.4543006,-0.151817735,0.151872307,0.274178533,0.507183035,104457,RIKEN cDNA 0610010K14 gene
0610011F06Rik,10.51976457,9.501085981,9.347778266,9.480424606,9.404818482,10.16091591,9.530526356,9.477450746,9.941601776,8.231998591,10.94944036,9.960721949,,924.3113819,0.044413989,0.269749125,0.818885607,0.915514995,NA,NA
0610012G03Rik,9.50175878,8.885966636,8.967573339,8.454945885,8.813781467,9.482004174,8.62688142,8.822440748,9.171182529,8.465429283,9.666179771,8.989228377,,526.1120045,-0.036560928,0.209977606,0.835312985,0.924517997,106264,RIKEN cDNA 0610012G03 gene
0610030E20Rik,9.313313691,9.594104395,10.02293858,9.894672668,9.873822594,9.937356923,9.499876143,9.798922941,9.768520582,9.205909362,9.687874843,9.669259135,,836.3886072,-0.149923824,0.148098695,0.269902252,0.502567173,68364,RIKEN cDNA 0610030E20 gene
0610037L13Rik,9.222782831,9.034174042,8.574395274,8.477264265,8.787454184,8.958442218,8.530526356,8.679183697,8.660292312,8.102230715,8.907187871,8.651532966,,428.3316034,-0.216339838,0.166994363,0.148914982,0.345254719,NA,NA
0610040B10Rik,5.274072059,4.548344734,3.74150526,2.229336751,3.510000719,4.543404719,3.32107299,4.078279652,4.840624128,3.692839779,5.020335028,4.536055748,,19.91619017,0.044506008,0.309903814,0.811223979,0.911486231,67672,RIKEN cDNA 0610040B10 gene
0610040J01Rik,10.75646483,9.858957515,10.13259538,10.03346777,9.97060288,10.3544353,10.01223489,10.00427907,10.25340565,8.379340306,10.9753335,11.34218337,,1280.374792,0.115023156,0.278024483,0.590027956,0.779334681,76261,RIKEN cDNA 0610040J01 gene
1010001N08Rik,6.629552714,5.525624657,4.934150338,5.575111588,5.128910551,6.736049796,6.151147989,6.800745677,6.720329895,4.107877278,7.081217271,6.75844817,,76.153108,0.273416696,0.358312581,0.201972691,0.419580431,NA,NA
1110001J03Rik,9.099498554,8.352475754,7.950958625,7.302585733,8.046941704,8.942250184,8.403813421,8.108026996,8.755188652,7.429805373,8.838311066,8.391665839,,337.4804726,-0.008809515,0.248295144,0.96062484,0.982797678,NA,NA
1110002L01Rik,7.386281562,7.437087983,7.627637295,7.477264265,7.597463559,8.300834415,7.830628088,8.142932611,7.444695452,7.707790121,7.249816874,7.659438164,,206.1268832,0.021777592,0.187449826,0.895446445,0.953814963,100043040,RIKEN cDNA 1110002L01 gene
1110004E09Rik,10.04303475,9.686616534,9.219552556,9.225574832,9.376838064,9.697981755,8.698042449,9.054032106,9.136347153,9.447727282,9.974531339,9.273021343,,700.1627545,-0.190847563,0.206727323,0.273765319,0.506792299,NA,NA
1110004F10Rik,10.73543113,10.49598167,10.26730569,10.40675629,10.16719155,10.4155299,10.32482513,10.60601728,10.4565112,10.55805753,10.37545825,10.85798384,,1432.739678,0.103051361,0.127807544,0.392296612,0.623055547,56372,RIKEN cDNA 1110004F10 gene
1110006O24Rik,4.578926641,3.248784452,3.841040933,3.814299252,3.872570797,3.958442218,4.473076083,4.171389057,4.103658534,3.808316996,4.862793751,4.050628922,,17.42447914,0.210232538,0.28492312,0.301295824,0.535087505,66123,RIKEN cDNA 1110006O24 gene
1110007C09Rik,9.756464826,9.009824181,8.530340094,8.988670158,8.642225011,9.477516783,9.377560181,8.606017285,8.944960788,9.176655557,9.619734913,9.67316888,,591.6742617,0.10257332,0.217903497,0.569614621,0.765400089,NA,NA
1110008F13Rik,11.65523326,11.58931933,11.37138224,11.54146338,11.06458957,11.8173113,11.43828317,11.92000123,11.63295893,11.12119995,11.23983739,11.77172811,,2971.309351,0.019155984,0.161424973,0.897652346,0.954520596,NA,NA
1110008L16Rik,7.981025084,7.856683764,7.68903784,7.726523292,7.969432337,8.162314551,8.264890155,9.128491098,8.252050374,7.550820774,8.32726096,9.204434257,,309.2098689,0.526032841,0.267440089,0.014187027,0.067575375,NA,NA
1110008P14Rik,11.03523216,10.03014417,9.83350726,10.33174993,9.577627144,10.43764506,9.972921971,9.565851751,9.739799759,9.211165087,10.2270968,9.516603386,,1053.165179,-0.422419851,0.250985966,0.036166137,0.132152191,73737,RIKEN cDNA 1110008P14 gene
1110012L19Rik,8.305550291,7.897072888,7.767040352,7.906469096,7.757928232,8.128367219,8.360601354,7.899309511,8.28952508,8.216401735,8.051097282,7.97662834,,266.9724238,0.150579843,0.139236012,0.245101427,0.472071516,NA,NA
1110017D15Rik,4.578926641,7.856683764,4.256078432,2.966302345,6.691330483,3.610518914,3.151147989,5.926276559,4.103658534,7.889236992,6.139633957,4.050628922,,67.43482984,0.00790431,0.351620055,0.960018695,0.982481528,73721,RIKEN cDNA 1110017D15 gene
1110019D14Rik,5.914529672,6.514129018,6.104075339,5.948154999,6.094963219,6.238550137,5.906035491,6.597653811,6.326050956,5.751733468,6.90382102,6.447519074,,77.0045412,0.164473542,0.209211277,0.350871541,0.585193932,76311,RIKEN cDNA 1110019D14 gene
1110020A21Rik,4.508537313,3.133307234,3.841040933,2.966302345,3.162077415,4.736049796,3.32107299,3.341314058,3.518696033,2.429805373,4.862793751,3.603169944,,13.95927246,-0.05995973,0.314119282,0.742520453,0.874676925,68531,RIKEN cDNA 1110020A21 gene
1110028F11Rik,4.186609218,2.870272828,3.393581957,3.344813969,-0.297354204,3.958442218,3.151147989,4.078279652,4.444695452,3.429805374,3.747316534,3.951093248,,12.48121454,0.174722192,0.347821596,0.36237711,0.596674397,68690,RIKEN cDNA 1110028F11 gene
1110032A03Rik,9.075352467,9.042200183,8.782773278,8.375693282,8.96238906,8.454868044,7.945563855,8.651169321,8.381643282,8.327045799,8.893673065,8.001719321,,393.6738744,-0.330451335,0.199386904,0.054415561,0.175214061,68721,RIKEN cDNA 1110032A03 gene
1110034G24Rik,6.914529672,7.519888287,6.945377593,6.539192014,6.912099162,7.280370312,6.105344299,7.204812058,6.704562579,6.465429283,6.890274488,6.074475663,,115.946656,-0.3168851,0.235981979,0.097686162,0.260617286,NA,NA
1110037F02Rik,10.046144,9.948156693,10.13013764,10.20279496,10.07768523,10.01990985,10.53808823,10.047906,10.26554622,10.45881646,9.940431163,9.852822138,,1129.525719,0.118620449,0.133837647,0.344597183,0.578574715,NA,NA
1110038B12Rik,8.880096176,8.234845261,8.433996225,7.824283341,8.306272141,8.321012297,8.851587707,8.994756297,8.610395868,9.372319879,10.23916963,9.529600726,,496.2213666,0.874344847,0.292190806,0.000365846,0.004048552,68763,RIKEN cDNA 1110038B12 gene
1110038F14Rik,9.369003571,9.073865542,8.665469368,8.474096985,8.837072116,9.009068291,8.070011226,8.528941061,8.692622966,8.416216309,9.247162421,8.787594515,,448.1135715,-0.20428298,0.199832818,0.231623391,0.455812033,117171,RIKEN cDNA 1110038F14 gene
1110046J04Rik,5.94149672,5.95773567,5.662070792,5.477264265,5.375071138,5.436489514,4.610579608,5.694951013,4.897207657,6.173966469,4.554671456,4.898625828,,44.59683024,-0.239428036,0.27798106,0.239997026,0.466533902,68808,RIKEN cDNA 1110046J04 gene
1110051M20Rik,8.725768029,8.213680651,8.256078432,8.385841237,8.186461573,8.504234121,7.773199808,8.433483902,8.386592498,8.163159714,8.674106687,7.989228376,,321.9379316,-0.10127802,0.164556802,0.49465887,0.709112555,228356,RIKEN cDNA 1110051M20 gene
1110059E24Rik,9.841245246,9.57625073,9.644956771,9.592741482,9.357281825,9.739801931,9.249180072,9.390557577,9.472892344,9.144050891,9.48878352,9.941399852,,751.8421366,-0.140075349,0.144906728,0.294843918,0.528876478,66206,RIKEN cDNA 1110059E24 gene
1110059G10Rik,8.815965838,8.805732576,8.559859181,8.41916131,8.621509034,8.340911855,7.569000503,8.626716277,8.64797905,7.822122796,8.57174497,8.115281879,,350.5301517,-0.255253877,0.199073738,0.134797953,0.322613573,66202,RIKEN cDNA 1110059G10 gene
1110065P20Rik,9.341427327,8.487923948,8.522864973,8.053765186,8.05137395,9.063976632,8.305966098,8.502305935,8.601909402,7.902293145,8.173581289,7.844178044,,355.5967293,-0.31095544,0.23902379,0.106059412,0.275921362,68920,RIKEN cDNA 1110065P20 gene
1190002F15Rik,5.434536732,5.220770075,4.792131332,4.731837092,4.287608297,6.057977891,5.058038584,5.756351558,5.241162058,5.66246613,6.9567699,6.074475663,,49.03522917,0.445231224,0.382056161,0.066917176,0.202275492,NA,NA
1190002N15Rik,7.967968931,9.170396553,9.941177604,9.3925671,9.376838064,8.075899799,8.259672446,7.597653811,7.518696033,9.219012949,6.982532996,7.75844817,,419.9100026,-0.772793777,0.448221314,0.00970914,0.051399683,NA,NA
