regionID1	regionID2	DiffScore
43	22	-12.9451234554417
40	24	-12.1704614490694
40	17	-11.6697322835213
40	21	-11.5282460981975
40	20	-10.8021094456735
27	2	-10.4506347531312
40	23	-9.73169406640873
49	11	-9.20978280454037
40	16	-9.19080509433175
17	3	-9.14196127442885
43	21	-9.10322356463729
42	21	-9.06894737152647
17	1	-8.91054723767751
17	5	-8.8753608035296
49	16	-8.78461503984594
41	20	-8.71267415578145
39	17	-8.60792452229772
17	4	-8.59120350180834
36	17	-8.57849206586123
20	2	-8.55096688539952
36	16	-8.47823984034728
44	22	-8.27309622882384
42	20	-8.26416541135473
39	24	-8.2158569047695
37	17	-8.17759050018632
43	40	-8.07666761535846
50	21	-8.07256156149113
14	4	-8.02911311118603
41	16	-8.00188941594039
16	4	-7.92227638589305
41	23	-7.85899396118188
16	5	-7.8290511625025
49	13	-7.80308035632144
46	21	-7.76785968155779
43	12	-7.74787382082344
50	40	-7.58366610103004
9	1	-7.55703861601123
39	21	-7.54897053721006
11	4	-7.51844920562627
48	16	-7.50887617121761
49	15	-7.43103330910642
47	20	-7.36597082480891
49	21	-7.34623302726356
18	4	-7.28272927304782
14	2	-7.28179751373446
6	2	-7.22466928064449
24	4	-7.20766303293368
36	18	-7.20608718037461
43	11	-7.203566147679
43	7	-7.14617048801629
46	6	-7.0772163066119
36	22	-7.05565116679625
41	24	-7.05146997963512
40	9	-7.04331340040603
48	22	-7.038847410479
43	5	-6.99613898146522
50	2	-6.90737995594494
40	22	-6.89188517637559
37	24	-6.88119011133396
48	21	-6.87337893846817
40	11	-6.83478892871724
40	15	-6.82466107308761
17	6	-6.80453032298172
18	5	-6.79604414738192
39	16	-6.71606821560699
46	20	-6.68102760168471
24	2	-6.6718093983256
18	2	-6.52905084107086
49	22	-6.51862577495408
49	5	-6.4918519973049
50	23	-6.48428648141484
14	5	-6.47931448510448
50	6	-6.4640803043675
19	2	-6.44340142405257
18	1	-6.42906774467968
46	40	-6.38654431189614
39	20	-6.38372102380358
50	7	-6.32167838033602
49	18	-6.29169812833833
16	1	-6.27672479942071
40	19	-6.27267413702617
41	15	-6.26066227325436
19	1	-6.23516179889469
46	7	-6.23407434184451
24	7	-6.19061902515326
23	4	-6.16870626254158
17	2	-6.10729207579137
50	16	-6.03124119915977
12	2	-6.01166379321742
11	2	-6.00604165804883
49	4	-5.99281625819184
50	10	-5.97972661829811
50	36	-5.97737063869432
37	16	-5.9051115071467
11	3	-5.90234337739716
41	21	-5.88052106249518
46	22	-5.87952031442479
19	4	-5.87798860314547
37	21	-5.8748684144636
12	4	-5.83710224761597
46	43	-5.81482165248426
24	22	-5.77167020957213
37	15	-5.75150830710951
43	14	-5.70362241464087
13	2	-5.68955804288791
41	17	-5.66579938515239
49	7	-5.63563850047244
50	11	-5.56538726502048
49	10	-5.51175545883275
50	8	-5.496889884209
42	11	-5.45840100865175
37	18	-5.45336141205113
47	13	-5.4436516916407
39	13	-5.4215952815111
43	30	-5.41975266712402
17	8	-5.41750599020854
43	24	-5.40869405689498
40	18	-5.39185346411059
41	19	-5.38516315067105
47	21	-5.36825369664159
43	2	-5.36718981656206
49	6	-5.36716165463846
42	22	-5.3294053471093
14	7	-5.32098860111793
4	1	-5.31107203144486
41	22	-5.30834128870153
44	15	-5.30422829510535
49	8	-5.29899855467171
37	11	-5.29452970969314
41	13	-5.28309195565275
43	27	-5.26726762130671
39	15	-5.25469017303004
39	23	-5.24849224341123
48	37	-5.22964280510271
46	16	-5.16300535827272
50	41	-5.12282606790895
42	16	-5.11743505458961
24	3	-5.10668960897366
46	11	-5.08886606579693
21	4	-5.06578707195749
32	21	-5.06146315494961
46	8	-5.05458153953433
43	15	-5.02398834911822
14	9	-5.02183074854229
36	32	-5.0097347135862
50	13	-5.00531650546025
22	4	-4.97183089429199
24	17	-4.94352286916939
48	40	-4.86238814077153
46	14	-4.86236918035398
39	11	-4.85968992900776
14	6	-4.84968050208135
50	32	-4.83371990789735
48	19	-4.80542314569234
50	17	-4.7925800877133
35	16	-4.76373800875335
44	40	-4.76238644937449
33	2	-4.72943587132133
44	41	-4.71958898659231
43	28	-4.70373544997633
45	40	-4.67808434434751
36	15	-4.67392457158722
40	30	-4.65561965930528
43	17	-4.64892744859304
46	17	-4.61901489100699
24	6	-4.61818171601939
16	9	-4.6103511387205
30	15	-4.58372515623439
19	5	-4.58311924070834
36	24	-4.57902654638399
43	8	-4.57324670551905
39	19	-4.57096514954547
39	14	-4.53440132726625
47	16	-4.52943527620531
3	1	-4.51242242633576
17	7	-4.50754431904201
48	15	-4.4796039963131
6	1	-4.44987424797862
46	10	-4.44469784237576
42	23	-4.4127951104186
48	14	-4.40229981694071
45	2	-4.39864607182737
43	37	-4.38116922238277
41	18	-4.36064976581707
46	12	-4.33650465637873
16	2	-4.33377072882721
46	39	-4.29892270177292
42	14	-4.29191795269174
37	20	-4.284832085242
48	13	-4.274421800764
28	2	-4.26970299529428
16	7	-4.2641535384847
11	1	-4.23476890146793
15	4	-4.21091570361109
50	15	-4.2080267057695
40	14	-4.19360814527795
23	2	-4.18722396703865
46	23	-4.1839494470654
50	9	-4.17885188058744
48	11	-4.15159200738004
46	13	-4.15108778956025
48	17	-4.14856676898287
46	5	-4.1481383542476
46	18	-4.14169761125914
22	1	-4.13946401447951
29	2	-4.12695590628204
43	20	-4.1138474513774
50	37	-4.10035260934153
36	4	-4.08195839083019
43	10	-4.06758777248279
15	5	-4.05924281887301
43	36	-4.01904784978057
16	6	-4.0188090989136
40	33	-4.01828057740405
46	2	-3.99489180445591
44	34	-3.97445972006189
43	33	-3.94186783576138
22	11	-3.93881587618089
43	41	-3.93244727381812
41	14	-3.93174066233707
50	22	-3.92877493182129
49	2	-3.90138376922359
49	23	-3.89072187450327
48	18	-3.88982415948679
37	34	-3.86167405323734
39	9	-3.85461287951574
49	33	-3.83393116889689
34	2	-3.81469748817823
50	14	-3.80084045779709
24	15	-3.7856049282694
48	2	-3.77280935388834
44	21	-3.74557950456306
36	7	-3.7199468839644
43	18	-3.71656991501683
41	11	-3.70262922880516
49	41	-3.67342928431375
47	11	-3.67221847345532
36	14	-3.67138489555098
36	8	-3.66764410259093
48	8	-3.65472185014697
46	37	-3.65394395695476
14	1	-3.64929494951753
31	15	-3.63322641553773
30	4	-3.62470161866758
28	11	-3.61094005129457
43	9	-3.60619451239191
39	31	-3.60476895452922
44	16	-3.58327673191806
46	19	-3.57594531051428
48	20	-3.54494439534776
37	8	-3.52240834876125
24	18	-3.52123749178614
45	39	-3.51175621121839
23	6	-3.49976220806601
42	24	-3.49196669648157
48	7	-3.47359322664691
48	36	-3.44848613766691
42	41	-3.44336128614503
45	21	-3.43337375961821
16	3	-3.42928600665928
49	40	-3.42927593307854
20	4	-3.42621750880991
33	27	-3.42015222196839
19	3	-3.41278861516953
50	33	-3.40840303969278
31	2	-3.39236577430348
44	28	-3.38364523759385
30	16	-3.38209122717889
20	1	-3.38161269067302
49	27	-3.377594183086
50	12	-3.37081974818612
47	23	-3.34626609717707
42	13	-3.34566623750707
37	14	-3.32376161394014
46	30	-3.31353115393859
37	31	-3.30764310931352
13	6	-3.30620099568885
43	13	-3.30267477783004
34	17	-3.28049892383303
13	1	-3.26939617118834
50	18	-3.25332139289429
12	5	-3.25328073938268
39	18	-3.23673871323079
25	17	-3.22703988197749
49	17	-3.21936073590475
48	41	-3.21575127700796
50	5	-3.21232899773854
41	9	-3.20383334318171
34	1	-3.19339599233833
32	24	-3.18511009370344
18	3	-3.17612114369169
42	17	-3.15151002617109
48	23	-3.15008407707457
39	10	-3.14870783660253
37	22	-3.12481038855486
43	1	-3.12200965649326
9	2	-3.12085148206007
32	20	-3.11786603219902
30	21	-3.09838441576161
49	12	-3.0602033656736
48	27	-3.05866965204555
33	21	-3.04108479563135
15	6	-3.04034781032406
50	30	-3.03833010999835
43	34	-3.03435440054706
27	3	-3.02687214597207
47	7	-3.02385383928486
14	8	-3.00534151140712
45	41	-2.9785066531272
15	7	-2.97746839672876
33	1	-2.97697201589988
8	1	-2.96599531859205
47	15	-2.95722242548276
37	9	-2.95696761550392
24	8	-2.95575600549515
24	9	-2.95268452790923
43	6	-2.95241587053165
40	13	-2.95227259285192
49	37	-2.94487839693464
34	22	-2.93715715785901
46	15	-2.93027359293353
50	20	-2.91438428361935
44	12	-2.90383616161374
35	21	-2.89888998562491
6	3	-2.88828565875451
44	5	-2.88541585765801
22	12	-2.86757867318207
23	7	-2.84040013266916
43	16	-2.82320803132199
49	36	-2.82302242114457
43	39	-2.8101778785847
10	1	-2.80037283923271
36	6	-2.79508518482635
