k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
1	1	2	0.18046829	0.19012852	AA	0.0343121688846308	0	0.18905134	0.21577221	AA	0.0407920254352614	0	ct2VSct5	-0.0064798565506306	-0.0064798565506306	0
2	1	3	0.18046829	0.14061381	AA	0.0253763338410849	0	0.18905134	0.16017422	AA	0.0302811509244548	0	ct2VSct5	-0.0049048170833699	-0.0049048170833699	0
3	1	4	0.18046829	-0.18161297	AB	0	0	0.18905134	-0.16747195	AB	0	0	ct2VSct5	-0.0011145855778083	0	0
4	1	5	0.18046829	-0.18328273	AB	0	0	0.18905134	-0.14763435	AB	0	0	ct2VSct5	-0.0051662491721027	0	0
5	1	6	0.18046829	0.042068575	AA	0.00759204379298675	0	0.18905134	0.12247223	AA	0.0231535391942882	0	ct2VSct5	-0.0155614954013015	-0.0155614954013015	0
6	1	7	0.18046829	-0.00098194839	AB	0	0	0.18905134	0.0989969	AA	0.018715496600846	0	ct2VSct5	-0.0188927071476576	-0.018715496600846	0
7	1	8	0.18046829	-0.044405686	AB	0	0	0.18905134	0.0099884727	AA	0.00188833414848842	0	ct2VSct5	-0.00990215236718536	-0.00188833414848842	0
8	1	9	0.18046829	-0.17344142	AB	0	0	0.18905134	-0.1274323	AB	0	0	ct2VSct5	-0.0072094294082898	0	0
9	1	10	0.18046829	-0.19903151	AB	0	0	0.18905134	-0.18691438	AB	0	0	ct2VSct5	-0.000582462261548698	0	0
10	1	11	0.18046829	-0.1973125	AB	0	0	0.18905134	-0.16241039	AB	0	0	ct2VSct5	-0.0049047476112024	0	0
11	1	12	0.18046829	-0.15190249	AB	0	0	0.18905134	0.017687445	AA	0.0033438351784263	0	ct2VSct5	-0.0307574177954684	-0.0033438351784263	0
12	1	13	0.18046829	-0.087703852	AB	0	0	0.18905134	0.09036246	AA	0.0170831441486964	0	ct2VSct5	-0.0329109083455495	-0.0170831441486964	0
13	1	14	0.18046829	-0.1880073	AB	0	0	0.18905134	-0.19910875	AB	0	0	ct2VSct5	0.003712420054708	0	0
14	1	15	0.18046829	-0.20745743	AB	0	0	0.18905134	-0.22389707	AB	0	0	ct2VSct5	0.0048885534656791	0	0
15	1	16	0.18046829	-0.17437581	AB	0	0	0.18905134	-0.10668783	AB	0	0	ct2VSct5	-0.0112998270248727	0	0
16	1	17	0.18046829	-0.14796277	AB	0	0	0.18905134	-0.16114704	AB	0	0	ct2VSct5	0.0037624757634703	0	0
17	1	18	0.18046829	-0.16760507	AB	0	0	0.18905134	-0.12908324	AB	0	0	ct2VSct5	-0.0058440408846887	0	0
18	1	19	0.18046829	-0.14024768	AB	0	0	0.18905134	-0.082187458	AB	0	0	ct2VSct5	-0.00977260991997348	0	0
19	1	20	0.18046829	0.054948016	AA	0.00991637448641264	0	0.18905134	0.10462359	AA	0.0197792298851106	0	ct2VSct5	-0.00986285539869796	-0.00986285539869796	0
20	1	21	0.18046829	-0.0074197618	AB	0	0	0.18905134	0.021771407	AA	0.00411591366703538	0	ct2VSct5	-0.0054549453912887	-0.00411591366703538	0
21	1	22	0.18046829	-0.15307954	AB	0	0	0.18905134	-0.16762484	AB	0	0	ct2VSct5	0.004063697801499	0	0
22	1	23	0.18046829	-0.094298444	AB	0	0	0.18905134	0.045727801	AA	0.00864490205430334	0	ct2VSct5	-0.0256627809926441	-0.00864490205430334	0
23	1	24	0.18046829	-0.15181406	AB	0	0	0.18905134	-0.072285174	AB	0	0	ct2VSct5	-0.0137320147993242	0	0
24	1	25	0.18046829	-0.14685121	AB	0	0	0.18905134	-0.023054218	AB	0	0	ct2VSct5	-0.0221435559475788	0	0
25	1	26	0.18046829	0.022230333	AA	0.00401187018264057	0	0.18905134	0.11066115	AA	0.020920638693441	0	ct2VSct5	-0.0169087685108004	-0.0169087685108004	0
26	1	27	0.18046829	-0.1369298	AB	0	0	0.18905134	-0.057726404	AB	0	0	ct2VSct5	-0.0137982328264606	0	0
27	1	28	0.18046829	-0.19271408	AB	0	0	0.18905134	-0.20989674	AB	0	0	ct2VSct5	0.0049024794821084	0	0
28	1	29	0.18046829	-0.072474398	AB	0	0	0.18905134	-0.061097665	AB	0	0	ct2VSct5	-0.00152873523671832	0	0
29	1	30	0.18046829	-0.19092902	AB	0	0	0.18905134	-0.17611978	AB	0	0	ct2VSct5	-0.0011609533412706	0	0
30	1	31	0.18046829	-0.061939482	AB	0	0	0.18905134	0.0086151607	AA	0.00162870767465034	0	ct2VSct5	-0.0128068200746761	-0.00162870767465034	0
31	1	32	0.18046829	0.093314979	AA	0.0168403946915159	0	0.18905134	0.13175122	AA	0.0249077446876348	0	ct2VSct5	-0.00806734999611889	-0.0080673499961189	0
32	1	33	0.18046829	-0.11083278	AB	0	0	0.18905134	-0.13591568	AB	0	0	ct2VSct5	0.005693239148465	0	0
33	1	34	0.18046829	-0.17001925	AB	0	0	0.18905134	-0.20408624	AB	0	0	ct2VSct5	0.0078996938329791	0	0
34	1	35	0.18046829	0.0060066249	AA	0.00108400532437442	0	0.18905134	0.085631547	AA	0.016188758706623	0	ct2VSct5	-0.0151047533822486	-0.0151047533822486	0
35	1	36	0.18046829	-0.02883865	AB	0	0	0.18905134	0.054590767	AA	0.0103204576529778	0	ct2VSct5	-0.0155249195043863	-0.0103204576529778	0
36	1	37	0.18046829	0.1362983	AA	0.024597521130907	0	0.18905134	0.13175867	AA	0.0249091531201178	0	ct2VSct5	-0.0003116319892108	-0.0003116319892108	0
