"","x"
"1","0610005C13Rik"
"2","0610007P14Rik"
"3","0610009B22Rik"
"4","0610009L18Rik"
"5","0610009O20Rik"
"6","0610010F05Rik"
"7","0610010K14Rik"
"8","0610012G03Rik"
"9","0610030E20Rik"
"10","0610037L13Rik"
"11","0610038B21Rik"
"12","0610040B10Rik"
"13","0610040J01Rik"
"14","1010001B22Rik"
"15","1110002L01Rik"
"16","1110004E09Rik"
"17","1110004F10Rik"
"18","1110006O24Rik"
"19","1110008F13Rik"
"20","1110008L16Rik"
"21","1110008P14Rik"
"22","1110012L19Rik"
"23","1110019D14Rik"
"24","1110020A21Rik"
"25","1110028F11Rik"
"26","1110032A03Rik"
"27","1110032F04Rik"
"28","1110034G24Rik"
"29","1110035H17Rik"
"30","1110037F02Rik"
"31","1110038B12Rik"
"32","1110038F14Rik"
"33","1110051M20Rik"
"34","1110059E24Rik"
"35","1110059G10Rik"
"36","1110065P20Rik"
"37","1190002N15Rik"
"38","1190005I06Rik"
"39","1190007I07Rik"
"40","1300002E11Rik"
"41","1300017J02Rik"
"42","1500009L16Rik"
"43","1500011B03Rik"
"44","1500011K16Rik"
"45","1500015A07Rik"
"46","1600002H07Rik"
"47","1600002K03Rik"
"48","1600010M07Rik"
"49","1600012H06Rik"
"50","1600014C10Rik"
"51","1600020E01Rik"
"52","1700001G11Rik"
"53","1700001G17Rik"
"54","1700001L05Rik"
"55","1700003F12Rik"
"56","1700006J14Rik"
"57","1700007L15Rik"
"58","1700008J07Rik"
"59","1700010I14Rik"
"60","1700012D14Rik"
"61","1700016K19Rik"
"62","1700017B05Rik"
"63","1700019D03Rik"
"64","1700020I14Rik"
"65","1700020L24Rik"
"66","1700021A07Rik"
"67","1700021F05Rik"
"68","1700023H06Rik"
"69","1700025G04Rik"
"70","1700027J19Rik"
"71","1700028E10Rik"
"72","1700028J19Rik"
"73","1700029J07Rik"
"74","1700030J22Rik"
"75","1700030K09Rik"
"76","1700034P13Rik"
"77","1700037C18Rik"
"78","1700037H04Rik"
"79","1700040D17Rik"
"80","1700040L02Rik"
"81","1700048O20Rik"
"82","1700052K11Rik"
"83","1700055D18Rik"
"84","1700056E22Rik"
"85","1700063H04Rik"
"86","1700066B19Rik"
"87","1700066M21Rik"
"88","1700084E18Rik"
"89","1700086O06Rik"
"90","1700086P04Rik"
"91","1700096K18Rik"
"92","1700097N02Rik"
"93","1700101I11Rik"
"94","1700112D23Rik"
"95","1700112E06Rik"
"96","1700113A16Rik"
"97","1700120C14Rik"
"98","1700123M08Rik"
"99","1700123O20Rik"
"100","1810009A15Rik"
"101","1810010H24Rik"
"102","1810011H11Rik"
"103","1810013L24Rik"
"104","1810014B01Rik"
"105","1810022K09Rik"
"106","1810024B03Rik"
"107","1810026B05Rik"
"108","1810030O07Rik"
"109","1810032O08Rik"
"110","1810034E14Rik"
"111","1810037I17Rik"
"112","1810041H14Rik"
"113","1810043G02Rik"
"114","1810044D09Rik"
"115","1810053B23Rik"
"116","1810055G02Rik"
"117","1810058I24Rik"
"118","1810059H22Rik"
"119","1810062G17Rik"
"120","2010001A14Rik"
"121","2010005H15Rik"
"122","2010008C14Rik"
"123","2010015M23Rik"
"124","2010107E04Rik"
"125","2010107G23Rik"
"126","2010109A12Rik"
"127","2010110K18Rik"
"128","2010111I01Rik"
"129","2010204K13Rik"
"130","2010308F09Rik"
"131","2010315B03Rik"
"132","2010320M18Rik"
"133","2200002D01Rik"
"134","2210013O21Rik"
"135","2210016F16Rik"
"136","2210016L21Rik"
"137","2210406H18Rik"
"138","2210406O10Rik"
"139","2210408I21Rik"
"140","2300009A05Rik"
"141","2310001H17Rik"
"142","2310009A05Rik"
"143","2310009B15Rik"
"144","2310010J17Rik"
"145","2310011J03Rik"
"146","2310015A10Rik"
"147","2310022A10Rik"
"148","2310022B05Rik"
"149","2310033P09Rik"
"150","2310034G01Rik"
"151","2310035C23Rik"
"152","2310036O22Rik"
"153","2310039H08Rik"
"154","2310040G24Rik"
"155","2310057M21Rik"
"156","2310058D17Rik"
"157","2310061I04Rik"
"158","2310068J16Rik"
"159","2310074N15Rik"
"160","2410002F23Rik"
"161","2410003L11Rik"
"162","2410004B18Rik"
"163","2410006H16Rik"
"164","2410015M20Rik"
"165","2410018L13Rik"
"166","2410022M11Rik"
"167","2410089E03Rik"
"168","2410131K14Rik"
"169","2500002B13Rik"
"170","2500004C02Rik"
"171","2510002D24Rik"
"172","2510016D11Rik"
"173","2510039O18Rik"
"174","2510046G10Rik"
"175","2600006K01Rik"
"176","2610001J05Rik"
"177","2610002M06Rik"
"178","2610005L07Rik"
"179","2610008E11Rik"
"180","2610020C07Rik"
"181","2610020H08Rik"
"182","2610021A01Rik"
"183","2610027K06Rik"
"184","2610035D17Rik"
"185","2610044O15Rik8"
"186","2610203C22Rik"
"187","2610301B20Rik"
"188","2610306M01Rik"
"189","2610318N02Rik"
"190","2610507B11Rik"
"191","2610507I01Rik"
"192","2610524H06Rik"
"193","2610528A11Rik"
"194","2610528J11Rik"
"195","2700012I20Rik"
"196","2700016F22Rik"
"197","2700038G22Rik"
"198","2700049A03Rik"
"199","2700060E02Rik"
"200","2700062C07Rik"
"201","2700081O15Rik"
"202","2700097O09Rik"
"203","2700099C18Rik"
"204","2810001G20Rik"
"205","2810002D19Rik"
"206","2810004N23Rik"
"207","2810006K23Rik"
"208","2810013P06Rik"
"209","2810021J22Rik"
"210","2810025M15Rik"
"211","2810030D12Rik"
"212","2810039B14Rik"
"213","2810402E24Rik"
"214","2810403A07Rik"
"215","2810403D21Rik"
"216","2810408A11Rik"
"217","2810408I11Rik"
"218","2810414N06Rik"
"219","2810428I15Rik"
"220","2810429I04Rik"
"221","2810454H06Rik"
"222","2810455O05Rik"
"223","2810459M11Rik"
"224","2810474O19Rik"
"225","2900005J15Rik"
"226","2900009J06Rik"
"227","2900026A02Rik"
"228","2900060B14Rik"
"229","2900076A07Rik"
"230","2900093K20Rik"
"231","2900097C17Rik"
"232","3000002C10Rik"
"233","3010003L21Rik"
"234","3110001I22Rik"
"235","3110002H16Rik"
"236","3110009E18Rik"
"237","3110040N11Rik"
"238","3110043O21Rik"
"239","3110045C21Rik"
"240","3110056K07Rik"
"241","3110062M04Rik"
"242","3110070M22Rik"
"243","3110082I17Rik"
"244","3110083C13Rik"
"245","3300005D01Rik"
"246","3830403N18Rik"
"247","3830406C13Rik"
"248","3830408C21Rik"
"249","4632404H12Rik"
"250","4632415L05Rik"
"251","4632427E13Rik"
"252","4732416N19Rik"
"253","4732491K20Rik"
"254","4833417C18Rik"
"255","4833418N02Rik"
"256","4833420G17Rik"
"257","4833439L19Rik"
"258","4833445I07Rik"
"259","4921524J17Rik"
"260","4921531C22Rik"
"261","4930402H24Rik"
"262","4930403D09Rik"
"263","4930405A21Rik"
"264","4930412M03Rik"
"265","4930413G21Rik"
"266","4930415F15Rik"
"267","4930427A07Rik"
"268","4930430F08Rik"
"269","4930431P19Rik"
"270","4930438A08Rik"
"271","4930447C04Rik"
"272","4930451G09Rik"
"273","4930453N24Rik"
"274","4930455G09Rik"
"275","4930481A15Rik"
"276","4930486L24Rik"
"277","4930503L19Rik"
"278","4930509E16Rik"
"279","4930513N10Rik"
"280","4930515G01Rik"
"281","4930519L02Rik"
"282","4930522L14Rik"
"283","4930523C07Rik"
"284","4930524J08Rik"
"285","4930524O07Rik"
"286","4930532G15Rik"
"287","4930550C14Rik"
"288","4930558J18Rik"
"289","4930558K02Rik"
"290","4930563E22Rik"
"291","4930577N17Rik"
"292","4930578M07Rik"
"293","4930579G24Rik"
"294","4930581F22Rik"
"295","4930592C13Rik"
"296","4931406C07Rik"
"297","4931406P16Rik"
"298","4931414P19Rik"
"299","4931428F04Rik"
"300","4931440P22Rik"
"301","4932422M17Rik"
"302","4932438A13Rik"
"303","4933404O12Rik"
"304","4933407K13Rik"
"305","4933421O10Rik"
"306","4933427D14Rik"
"307","4933429H19Rik"
"308","4933431E20Rik"
"309","4933431K14Rik"
"310","4933434E20Rik"
"311","4933439C10Rik"
"312","4933440N22Rik"
"313","5031425E22Rik"
"314","5031439G07Rik"
"315","5033430I15Rik"
"316","5330438D12Rik"
"317","5430403G16Rik"
"318","5430405H02Rik"
"319","5430416N02Rik"
"320","5430427O19Rik"
"321","5530601H04Rik"
"322","5730455P16Rik"
