Gene	Chrom	RegionNum	RegionLength	Resolution	GeneName	GeneID	CandidateProgressionDrivers.CandidateTumorSuppressors.CandidateTumorInitiation	State1	State2	State3	Chr	Start	End	Strand	TSS	Start_p5k	End_p5k	Start_p2k	End_p2k	TSSInRegion	Promoter5kInRegion	Promoter2kInRegion
Kras	6	40	5000	5000	Kras	1	NA	2700	973	8491	chr6	145216699	145250239	-	145250239	145250239	145255239	145250239	145252239	region:16	"region:16,17"	region:16
Cpne5	17	40	5000	5000	Cpne5	2	CTS	3105	1080	9851	chr17	29155556	29238167	-	29238167	29238167	29243167	29238167	29240167	region:38	"region:38,39"	region:38
Slc38a4	15	39	5000	5000	Slc38a4	3	NA	2877	1006	9115	chr15	96994820	97055956	-	97055956	97055956	97060956	97055956	97057956	region:19	"region:19,20"	region:19
Gal	19	40	5000	5000	Gal	4	NA	3021	1097	10024	chr19	3409915	3414544	-	3414544	3414544	3419544	3414544	3416544	region:21	"region:21,22"	region:21
Opn3_Chml	1	40	5000	5000	Opn3	5	CPD	2371	777	7065	chr1	175662421	175692776	-	175692776	175692776	175697776	175692776	175694776	region:19	"region:19,20"	region:19
Opn3_Chml	1	40	5000	5000	Chml	5	CPD	2371	777	7065	chr1	175682237	175692901	-	175692901	175692901	175697901	175692901	175694901	region:19	"region:19,20"	region:19
Foxa3	7	20	5000	5000	Foxa3	6	CPD	1584	692	6601	chr7	19013284	19023538	-	19023538	19023538	19028538	19023538	19025538	region:6	"region:6,7"	region:6
Clec3b	9	40	5000	5000	Clec3b	7	CTS	2801	1069	9663	chr9	123150946	123157432	+	123150946	123145946	123150946	123148946	123150946	region:17	"region:16,17"	region:17
Lrrc24	15	40	5000	5000	Lrrc24	8	NA	2864	1086	9717	chr15	76715276	76722173	-	76722173	76722173	76727173	76722173	76724173	region:14	"region:14,15"	region:14
Mlc1	15	39	5000	5000	Mlc1	9	CTS	2740	1057	9001	chr15	88955884	88979007	-	88979007	88979007	88984007	88979007	88981007	region:26	"region:26,27"	region:26
Sec14l3	11	40	5000	5000	Sec14l3	10	CTS	2761	1102	9835	chr11	4064841	4077736	+	4064841	4059841	4064841	4062841	4064841	region:21	"region:20,21"	region:21
Esco2_Scara3_Clu_Ephx2	14	40	8000	8000	Ephx2	11	CPD	3104	1010	9586	chr14	66084374	66124500	-	66124500	66124500	66129500	66124500	66126500	region:37	region:37	region:37
Esco2_Scara3_Clu_Ephx2	14	40	8000	8000	Clu	11	CPD	3104	1010	9586	chr14	65968483	65981547	+	65968483	65963483	65968483	65966483	65968483	region:20	"region:19,20"	region:20
Esco2_Scara3_Clu_Ephx2	14	40	8000	8000	Esco2	11	CPD	3104	1010	9586	chr14	65819038	65833994	-	65833994	65833994	65838994	65833994	65835994	region:5	region:5	region:5
Esco2_Scara3_Clu_Ephx2	14	40	8000	8000	Scara3	11	CPD	3104	1010	9586	chr14	65919394	65953935	-	65953935	65953935	65958935	65953935	65955935	region:18	"region:18,19"	region:18
Epas1	17	40	10000	10000	Epas1	12	NA	3221	1090	9488	chr17	86753700	86833410	+	86753700	86748700	86753700	86751700	86753700	region:27	region:27	region:27
Dlgap3_Gja4	4	40	8000	8000	Gja4	13	CTS	3069	1012	8497	chr4	127311421	127314039	-	127314039	127314039	127319039	127314039	127316039	region:34	"region:34,35"	region:34
Dlgap3_Gja4	4	40	8000	8000	Dlgap3	13	CTS	3069	1012	8497	chr4	127169204	127237022	+	127169204	127164204	127169204	127167204	127169204	region:16	"region:15,16"	region:16
Agr2	12	40	10000	10000	Agr2	14	CPD	2845	1010	9065	chr12	35992907	36004087	+	35992907	35987907	35992907	35990907	35992907	region:19	region:19	region:19
Olfm4	14	40	12000	12000	Olfm4	15	CPD	2936	936	8442	chr14	79984081	80023139	+	79984081	79979081	79984081	79982081	79984081	region:21	region:21	region:21
